supplier_name,purchase_date,purchase_note,line_type,item_name,quantity,quantity_unit,unit_price,expiry_date,line_note
Legacy Sheet Supplier,2026-04-01,Legacy workbook import - snooker opening stock,product,Kit Kat Chocolate,10,pcs,18.59,,Imported from snooker opening stock column
Legacy Sheet Supplier,2026-04-01,Legacy workbook import - snooker opening stock,product,Kur Kure,5,pcs,30,,Imported from snooker opening stock column
Legacy Sheet Supplier,2026-04-01,Legacy workbook import - snooker opening stock,product,Lay'S Chips Blue,10,pcs,33,,Imported from snooker opening stock column
Legacy Sheet Supplier,2026-04-01,Legacy workbook import - snooker opening stock,product,Lay'S Chips Green,10,pcs,32,,Imported from snooker opening stock column
Legacy Sheet Supplier,2026-04-01,Legacy workbook import - snooker opening stock,product,Lay'S Chips Yellow,9,pcs,48,,Imported from snooker opening stock column
Legacy Sheet Supplier,2026-04-01,Legacy workbook import - snooker opening stock,product,Lotte Choco Pie,36,pcs,10,,Imported from snooker opening stock column
Legacy Sheet Supplier,2026-04-01,Legacy workbook import - snooker opening stock,product,Marlboro,4,pcs,480,,Imported from snooker opening stock column
Legacy Sheet Supplier,2026-04-01,Legacy workbook import - snooker opening stock,product,Monster Energy Drink,9,pcs,125,,Imported from snooker opening stock column
Legacy Sheet Supplier,2026-04-01,Legacy workbook import - snooker opening stock,product,Penut Chikki Prufe,4,pcs,40,,Imported from snooker opening stock column
Legacy Sheet Supplier,2026-04-01,Legacy workbook import - snooker opening stock,product,Predator Energy Drink,8,pcs,60,,Imported from snooker opening stock column
Legacy Sheet Supplier,2026-04-01,Legacy workbook import - snooker opening stock,product,Red Bull,19,pcs,125,,Imported from snooker opening stock column
Legacy Sheet Supplier,2026-04-01,Legacy workbook import - snooker opening stock,product,Shift Millennium Edition,4,pcs,380,,Imported from snooker opening stock column
Legacy Sheet Supplier,2026-04-01,Legacy workbook import - snooker opening stock,product,Snickers Butterscotch Flavour Chocolate Bar,12,pcs,45,,Imported from snooker opening stock column
Legacy Sheet Supplier,2026-04-01,Legacy workbook import - snooker opening stock,product,Snickers Chocolate Bar,24,pcs,30,,Imported from snooker opening stock column
Legacy Sheet Supplier,2026-04-01,Legacy workbook import - snooker opening stock,product,Snickers Chocolate Strawberry,1,pcs,53,,Imported from snooker opening stock column
Legacy Sheet Supplier,2026-04-01,Legacy workbook import - snooker opening stock,product,Snickers Chocolate penut Bar,4,pcs,50,,Imported from snooker opening stock column
Legacy Sheet Supplier,2026-04-01,Legacy workbook import - snooker opening stock,product,Sprite Drink,17,pcs,40,,Imported from snooker opening stock column
Legacy Sheet Supplier,2026-04-01,Legacy workbook import - snooker opening stock,product,Thums Up Drink,15,pcs,32,,Imported from snooker opening stock column
Legacy Sheet Supplier,2026-04-01,Legacy workbook import - snooker opening stock,product,To Yummy Chips,6,pcs,50,,Imported from snooker opening stock column
Legacy Sheet Supplier,2026-04-01,Legacy workbook import - snooker opening stock,product,Water Bottel,19,pcs,20,,Imported from snooker opening stock column
Legacy Sheet Supplier,2026-04-13,Legacy workbook import - snooker summary purchase,product,Bingo Mad angels Chips,3,pcs,32,,Imported from snooker summary purchase column
Legacy Sheet Supplier,2026-04-13,Legacy workbook import - snooker summary purchase,product,Cavin's Chocolate Milkshake,2,pcs,28,,Imported from snooker summary purchase column
Legacy Sheet Supplier,2026-04-13,Legacy workbook import - snooker summary purchase,product,Cavin's Kaju Butterscotch Milkshake,2,pcs,35,,Imported from snooker summary purchase column
Legacy Sheet Supplier,2026-04-13,Legacy workbook import - snooker summary purchase,product,Coca-Cola Zero Sugar,20,pcs,35,,Imported from snooker summary purchase column
Legacy Sheet Supplier,2026-04-13,Legacy workbook import - snooker summary purchase,product,Dairy Milk Chocolate,56,pcs,9,,Imported from snooker summary purchase column
Legacy Sheet Supplier,2026-04-13,Legacy workbook import - snooker summary purchase,product,Dairy Milk Chocolate (20.2 g),40,pcs,18,,Imported from snooker summary purchase column
Legacy Sheet Supplier,2026-04-13,Legacy workbook import - snooker summary purchase,product,Elite Banana Pudding Cake,2,pcs,45,,Imported from snooker summary purchase column
Legacy Sheet Supplier,2026-04-13,Legacy workbook import - snooker summary purchase,product,Elite Dates Pudding Cake,2,pcs,45,,Imported from snooker summary purchase column
Legacy Sheet Supplier,2026-04-13,Legacy workbook import - snooker summary purchase,product,Heritage Badam Milk,10,pcs,20,,Imported from snooker summary purchase column
Legacy Sheet Supplier,2026-04-13,Legacy workbook import - snooker summary purchase,product,Heritage Pista Milk,10,pcs,20,,Imported from snooker summary purchase column
Legacy Sheet Supplier,2026-04-13,Legacy workbook import - snooker summary purchase,product,Kit Kat Chocolate,18,pcs,18.59,,Imported from snooker summary purchase column
Legacy Sheet Supplier,2026-04-13,Legacy workbook import - snooker summary purchase,product,Lay'S Chips Blue,9,pcs,33,,Imported from snooker summary purchase column
Legacy Sheet Supplier,2026-04-13,Legacy workbook import - snooker summary purchase,product,Lay'S Chips Green,10,pcs,32,,Imported from snooker summary purchase column
Legacy Sheet Supplier,2026-04-13,Legacy workbook import - snooker summary purchase,product,Smoodh -Chocolate,10,pcs,16,,Imported from snooker summary purchase column
Legacy Sheet Supplier,2026-04-13,Legacy workbook import - snooker summary purchase,product,Smoodh -Chocolate Hozel Nut,7,pcs,16,,Imported from snooker summary purchase column
Legacy Sheet Supplier,2026-04-13,Legacy workbook import - snooker summary purchase,product,Smoodh -Toffe Caramel,7,pcs,16,,Imported from snooker summary purchase column
Legacy Sheet Supplier,2026-04-13,Legacy workbook import - snooker summary purchase,product,Snickers Butterscotch Flavour Chocolate Bar,4,pcs,45,,Imported from snooker summary purchase column
Legacy Sheet Supplier,2026-04-13,Legacy workbook import - snooker summary purchase,product,Snickers Chocolate Bar,5,pcs,30,,Imported from snooker summary purchase column
Legacy Sheet Supplier,2026-04-13,Legacy workbook import - snooker summary purchase,product,Snickers Chocolate Strawberry,4,pcs,53,,Imported from snooker summary purchase column
Legacy Sheet Supplier,2026-04-13,Legacy workbook import - snooker summary purchase,product,Thums Up Drink,22,pcs,32,,Imported from snooker summary purchase column
Legacy Sheet Supplier,2026-04-13,Legacy workbook import - snooker summary purchase,product,To Yummy Chips ( Spicy Chili),5,pcs,33,,Imported from snooker summary purchase column
Legacy Sheet Supplier,2026-04-13,Legacy workbook import - snooker summary purchase,product,Town Bus ( Butter Murukku),6,pcs,30,,Imported from snooker summary purchase column
Legacy Sheet Supplier,2026-04-13,Legacy workbook import - snooker summary purchase,product,Town Bus ( Madras Mixture ),8,pcs,30,,Imported from snooker summary purchase column
Legacy Sheet Supplier,2026-04-13,Legacy workbook import - snooker summary purchase,product,Uncle Chips,2,pcs,33,,Imported from snooker summary purchase column
Legacy Sheet Supplier,2026-04-13,Legacy workbook import - snooker summary purchase,product,Water Bottel,438,pcs,20,,Imported from snooker summary purchase column
